asin,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,product_availability,climate_pledge_friendly,sales_volume,has_variations,clean_title,Brand,Product_Type,discount_percent
B0BQ118F2T,99,169.99,4,1319,16,69.88,FALSE,FALSE,TRUE,Only 1 left in stock - order soon.,FALSE,4K+ bought in past month,FALSE,moto g play 2023 3 day battery unlocked made for us 3/32gb 16mp camera navy blue,Motorola,Smartphone,41.76128008
B0CV2W1TKZ,153.99,153.99,4.2,186,4,147.5,FALSE,FALSE,TRUE,In Stock,FALSE,1K+ bought in past month,FALSE,samsung galaxy a15 sm 155m/dsn 128gb 6gb ram dual sim factory unlocked gsm international version ring grip case bundle light blue ,Samsung,Smartphone with bundle,0
B09SM24S8C,69,99.99,3.8,597,35,64.99,FALSE,FALSE,TRUE,In Stock,FALSE,2K+ bought in past month,TRUE,samsung galaxy a03s cell phone at&amp;t gsm unlocked android smartphone 32gb long lasting battery expandable storage 3 camera lenses infinite display black renewed ,Samsung,Smartphone,30.99309931
B0CHH1N9VY,49.99,49.99,4.2,2814,3,43.99,FALSE,FALSE,TRUE,In Stock,FALSE,500+ bought in past month,FALSE,tracfone motorola moto g pure locked 32gb 4000 mah battery 13 mp dual camera system 6.5&quot; max vision hd+ display blue,Motorola,Smartphone,0
B09T3MQSVP,88.09,98.27,3.8,1338,31,70.4,FALSE,FALSE,TRUE,In Stock,FALSE,500+ bought in past month,FALSE,samsung galaxy a13 5g cell phone at&amp;t gsm unlocked android smartphone 64gb long lasting battery expandable storage triple lens camera infinite display black renewed ,Samsung,Smartphone,10.35921441
B0BZG14KFJ,49.99,59.99,4.4,3843,3,25.19,FALSE,TRUE,TRUE,In Stock,FALSE,4K+ bought in past month,FALSE,panasonic cordless phone with answering machine advanced call block bilingual caller id and easy to read high contrast display expandable system with 2 handsets kx tgd832m metallic black ,Panasonic,Home Phone,16.66944491
B0C2SWQBMB,149.99,249.99,4.2,2637,8,100.72,FALSE,FALSE,TRUE,In Stock,FALSE,2K+ bought in past month,TRUE,motorola moto g 5g 2023 unlocked made for us 4/128gb 48 mpcamera ink blue 163.94x74.98x8.39,Motorola,Smartphone,40.00160006
B0CTD47P22,149.5,158,4.2,253,9,146.5,FALSE,FALSE,TRUE,In Stock,FALSE,500+ bought in past month,FALSE,samsung galaxy a15 a155m 128gb dual sim gsm unlocked android smartphone latin america version light blue,Samsung,Smartphone,5.379746835
B0CSB14R7J,139.99,139.99,4.3,573,15,136.62,FALSE,FALSE,TRUE,In Stock,FALSE,1K+ bought in past month,FALSE,samsung galaxy a15 a155m 128gb dual sim gsm unlocked android smartphone latin america version blue black,Samsung,Smartphone,0
B0CHK6LWKZ,59.99,59.99,4,258,4,50.48,FALSE,FALSE,TRUE,In Stock,FALSE,1K+ bought in past month,FALSE,tracfone samsung galaxy a03s locked 32gb 5000mah battery 48mp main camera 6.5 in. hd+infinity v display black,Samsung,Smartphone,0
